Variable,Description,Question Sample,Data Type,Notes
program_id,Program ID,Unique ID assigned to each accelerator program,String,
program_year,Program year,,Numeric,
program_region,Region (World Bank definition) where the accelerator program took place,"Categorized based on response to: ""Where will (most of) this program be located?""",Categorical,These data were collected with a separate survey of program managers
program_duration,Duration of the accelerator program,"Calculated based on response to: ""What is this program’s expected dates: (Start Date) / (End Date)""",Ordinal,These data were collected with a separate survey of program managers
program_sector_focus_yes,"Program has a specific sector focus (1 = Yes, 0 = No)",Does this program have an explicit sector focus?,(Yes / No),These data were collected with a separate survey of program managers
program_impact_area_yes,"Program has a specific impact area focus (1 = Yes, 0 = No)",Does this program have an explicit impact area focus?,(Yes / No),These data were collected with a separate survey of program managers
program_curric_struct_yes,"Program uses a structured curriculum (1 = Yes, 0 = No)",Does this program have a structured curriculum that is distributed to participants in written or electronic form?,(Yes / No),These data were collected with a separate survey of program managers
program_ben_ginv_yes,"Program provides financial grants or investments (1 = Yes, 0 = No)",Will this program provide guaranteed financial grants or investments for some or all program participants; either directly or through a related funding arm?,(Yes / No),These data were collected with a separate survey of program managers
program_demo_day_yes,"Program features pitch nights or demo days (1 = Yes, 0 = No)",Will this program feature pitch nights or demo days that connect participants to potential investors?,(Yes / No),These data were collected with a separate survey of program managers
New_External_ID,Venture ID,Unique ID used for external data purposes,String,
application_year,Survey year,-,Numeric,The year variable anchors all year specific questions
participated,Indicates ventures that finished the full program,,Numeric,This information was collected directly from accelerator program managers 
accepted_initial,Indicates ventures that were selected into program,,Numeric,Data available from 2016 onward; collected directly from accelerator program managers
accepted_final,Indicates ventures that showed up to participate in program when it began,,Numeric,Data available from 2016 onward; collected directly from accelerator program managers
info_venture_country,Country of operations,"Currently, in which country are your venture's main operations?",Pull down country,
info_venture_country_hq,Headquarter country,In what country is your venture headquartered? ,Pull down country,
info_has_website,Has website ,We are interested in the web presence of your venture. Does your venture currently have any of the following? (check all that apply) - An active website?,(Yes / No),Replaced null with 0
info_has_facebook,Has Facebook page,We are interested in the web presence of your venture. Does your venture currently have any of the following? (check all that apply) - A Facebook page?,(Yes / No),Replaced null with 0 
info_has_twitter,Has Twitter page,We are interested in the web presence of your venture. Does your venture currently have any of the following? (check all that apply) - A Twitter account?,(Yes / No),Replaced null with 0 
info_has_linkedin,Has LinkedIn page,We are interested in the web presence of your venture. Does your venture currently have any of the following? (check all that apply) - A Twitter account? - A LinkedIn group or page?,(Yes / No),Replaced null with 0 
info_founding_year,Year venture founded,In what year was your venture founded?,Numeric,"Data underwent two-step cleaning process: 1) if respondent's info_founding_year > survey_year, we used survey_year as info_founding_year; 2) if respondent's info_founding_year < 1900, it was changed to Null"
info_legal_status,Legal status of venture,Is your venture a:,Pull down menu select one,
info_sector,Primary sector,What primary sector is being impacted by your venture's activities? (select one),"Pull down, select one",
info_financial_goals,Financial goals,What are the financial goals of your venture? (check one),"Pull down, select one",
info_has_targetmargin,Has specific profit margin,Do you have some specific profit margin in mind?,(Yes / No),
info_target_margin,Select profit margin range ,What annual profit margins would you be happy achieving on average?,"Pull down menu, select one",
info_has_socialmotives,Indicates company has social motive,Individuals can also have non-financial motives for launching new ventures. Does your venture have the explicit intent of creating social or environmental impacts?,(Yes / No),
model_prodmanuf,Operational Model: Production / Manufacturing,What is the current operational model of your venture? (check all that apply) - Production / Manufacturing,(Yes / No),Replaced null with 0
model_procpack,Operational Model: Processing / Packaging,What is the current operational model of your venture? (check all that apply) - Processing / Packaging,(Yes / No),Replaced null with 0
model_distribution,Operational Model: Distribution,What is the current operational model of your venture? (check all that apply) - Distribution,(Yes / No),Replaced null with 0
model_wholretail,Operational Model: Wholesale / Retail,What is the current operational model of your venture? (check all that apply) - Wholesale / Retail,(Yes / No),Replaced null with 0
model_services,Operational Model: Services,What is the current operational model of your venture? (check all that apply) - Services,(Yes / No),Replaced null with 0
model_finserv,Operational Model: Financial Services,What is the current operational model of your venture? (check all that apply) - Financial Services,(Yes / No),Replaced null with 0
